car_name,yr_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,registered_city,registered_state,is_hot,make,model,total_owners,broker_quote,original_price,car_rating,ad_created_on,booking_down_pymnt,reserved,warranty_avail
maruti swift,2013,diesel,74429,314499,noida,1418,hatchback,manual,vdi,noida,uttar pradesh,True,maruti,swift,2,294044,365244.0,great,2021-02-03T08:57:29.594,47175,False,False
maruti swift,2014,diesel,81137,381299,noida,770,hatchback,manual,vdi,ghaziabad,uttar pradesh,True,maruti,swift,2,358594,458804.0,great,2021-03-18T18:18:44.906,57195,False,False
hyundai i20,2012,diesel,85689,302299,noida,1268,hatchback,manual,sportz 1.4 crdi,goutam  budd  nagar,uttar pradesh,True,hyundai,i20,1,292039,377619.0,great,2021-04-06T08:48:41.465,45345,False,False
hyundai santro xing,2011,petrol,139038,165499,noida,2258,hatchback,manual,gl plus,delhi,delhi,True,hyundai,santro xing,1,154046,,great,2021-03-01T09:18:02.662,24825,False,False
hyundai grand i10,2013,petrol,82328,364399,noida,400,hatchback,manual,sportz 1.2 kappa vtvt,delhi,delhi,True,hyundai,grand i10,1,336609,,great,2021-03-06T09:13:23.752,54660,False,False
hyundai verna,2015,diesel,87238,542699,noida,1289,sedan,manual,fluidic 1.6 crdi s,ghaziabad,uttar pradesh,True,hyundai,verna,1,541498,680558.0,great,2021-02-23T11:47:04.141,81405,False,False
maruti swift dzire,2010,petrol,95236,202499,noida,2344,sedan,manual,vxi,noida,uttar pradesh,True,maruti,swift dzire,2,199251,265671.0,great,2021-01-29T09:44:44.492,30375,False,False
maruti alto k10,2012,petrol,92532,215599,noida,493,hatchback,manual,vxi,new delhi,delhi,True,maruti,alto k10,1,195602,,great,2021-03-13T00:45:56.795,32340,False,False
maruti celerio,2016,petrol & cng,104962,326499,noida,2613,hatchback,manual,vxi cng,faridabad,haryana,True,maruti,celerio,1,295326,366773.0,great,2021-02-12T11:02:05.637,48975,False,False
maruti baleno,2016,diesel,88453,545799,noida,1463,hatchback,manual,alpha ddis 190,delhi,delhi,True,maruti,baleno,1,565654,703554.0,great,2020-11-10T08:31:03.649,81870,False,False
maruti swift dzire,2013,diesel,77823,390699,noida,468,sedan,manual,zdi,delhi,delhi,True,maruti,swift dzire,1,382228,,great,2021-03-08T12:53:51.799,58605,False,False
maruti swift dzire,2013,diesel,82016,274399,noida,2521,sedan,manual,ldi bs iv,delhi,delhi,True,maruti,swift dzire,2,284400,353776.0,great,2021-01-04T12:51:12.356,41160,False,False
hyundai i20,2012,diesel,112314,294799,noida,608,hatchback,manual,sportz 1.4 crdi,gurgaon,haryana,True,hyundai,i20,1,271977,,great,2021-03-06T10:56:57.158,44220,False,False
maruti swift dzire,2013,diesel,96826,352799,noida,1102,sedan,manual,vdi,noida,uttar pradesh,True,maruti,swift dzire,1,348318,446284.0,great,2021-03-26T07:04:00.762,52920,False,False
maruti swift,2015,diesel,91280,405399,noida,572,hatchback,manual,vdi abs,faridabad,haryana,True,maruti,swift,1,381900,,great,2020-10-28T07:37:55.047,60810,False,False
maruti swift,2015,diesel,92527,372899,noida,1172,hatchback,manual,vdi abs,noida,uttar pradesh,True,maruti,swift,1,365500,467250.0,great,2020-12-03T12:55:04.292,55935,False,False
hyundai new elantra,2013,diesel,81971,604299,noida,1946,luxury sedan,manual,s 1.6 mt,gurgaon,haryana,True,hyundai,new elantra,1,527571,662351.0,great,2020-11-01T13:43:23.925,90645,False,False
hyundai i20,2012,diesel,118130,243299,noida,1385,hatchback,manual,sportz o 1.4 crdi,noida,uttar pradesh,True,hyundai,i20,3,210000,277540.0,great,2020-11-28T12:32:07.262,36495,False,False
maruti swift,2014,diesel,124969,367999,noida,812,hatchback,manual,zdi,ghaziabad,uttar pradesh,True,maruti,swift,1,381500,486770.0,great,2020-12-26T08:48:11.476,55200,False,False
maruti swift,2011,diesel,133175,289199,noida,1424,hatchback,manual,zdi,ghaziabad,uttar pradesh,True,maruti,swift,1,253611,330743.0,great,2020-11-21T13:23:25.374,43380,False,False
maruti swift dzire,2013,diesel,110484,391499,noida,776,sedan,manual,zdi,gurgaon,haryana,True,maruti,swift dzire,1,395404,401404.0,great,2021-03-12T05:01:15.491,58725,False,False
honda amaze,2014,petrol,78097,337799,noida,1330,sedan,manual,1.2 smt i vtec,faridabad,haryana,True,honda,amaze,2,321773,398236.0,great,2021-03-04T10:21:21.349,50670,False,False
maruti ritz,2012,diesel,100995,234399,noida,701,hatchback,manual,vdi,ghaziabad,uttar pradesh,True,maruti,ritz,1,232205,304629.0,great,2021-01-09T13:27:06.81,35160,False,False
maruti ritz,2012,diesel,123546,215699,noida,770,hatchback,manual,vdi,ghaziabad,uttar pradesh,True,maruti,ritz,1,185600,248620.0,great,2020-12-04T10:22:13.571,32355,False,False
hyundai elite i20,2015,diesel,110531,420299,noida,1774,hatchback,manual,magna 1.4 crdi,ghaziabad,uttar pradesh,True,hyundai,elite i20,1,420000,527700.0,great,2020-12-29T10:28:55.414,63045,False,False
hyundai creta,2018,diesel,78027,1149984,noida,1175,suv,automatic,1.6 crdi sx plus auto,meerut,uttar pradesh,True,hyundai,creta,2,1068000,1295740.0,great,2020-12-08T22:00:00.869,172498,False,False
maruti swift,2012,diesel,129639,306199,noida,569,hatchback,manual,vdi,goutam  budd  nagar,uttar pradesh,True,maruti,swift,1,296328,382854.0,great,2020-11-23T11:33:50.977,45930,False,False
maruti swift,2009,petrol & cng,118559,215299,noida,2935,hatchback,manual,vxi,new delhi,delhi,True,maruti,swift,2,197120,,great,2021-03-08T14:32:54.528,32295,False,False
maruti swift,2012,diesel,156680,291399,noida,482,hatchback,manual,vdi,delhi,delhi,True,maruti,swift,1,266867,345903.0,great,2021-02-14T09:47:37.395,43710,False,False
maruti wagon r 1.0,2010,petrol & cng,176287,219999,noida,1530,hatchback,manual,lxi cng,delhi,delhi,True,maruti,wagon r 1.0,1,179790,,good,2021-03-07T13:38:00.197,33000,False,False
honda amaze,2015,diesel,123934,315599,noida,1352,sedan,manual,1.5 emt i dtec,ghaziabad,uttar pradesh,True,honda,amaze,2,311088,400848.0,great,2021-01-17T14:05:48.115,47340,False,False
audi q3,2014,diesel,66027,1332390,noida,3871,luxury suv,,2.0 tdi quattro mt,delhi,delhi,True,audi,q3,1,1184213,,great,2021-03-07T11:30:48.882,199859,False,False
hyundai creta,2015,diesel,88375,789799,noida,1009,suv,,1.6 sx crdi,delhi,delhi,True,hyundai,creta,1,790882,792382.0,great,2021-03-14T07:26:08.957,118470,False,False
maruti swift dzire,2012,diesel,180639,312099,noida,669,sedan,manual,vdi bs iv,goutam  budd  nagar,uttar pradesh,True,maruti,swift dzire,1,302763,,great,2021-03-03T08:46:38.326,46815,False,False
hyundai elite i20,2015,diesel,116697,536999,noida,676,hatchback,manual,asta 1.4 crdi,faridabad,haryana,True,hyundai,elite i20,1,477500,,great,2020-11-08T19:00:09.599,80550,False,False
maruti vitara brezza,2016,diesel,111613,593099,noida,755,suv,manual,vdi,new delhi,delhi,True,maruti,vitara brezza,1,519919,653679.0,great,2020-11-04T10:48:14.559,88965,False,False
honda amaze,2014,diesel,98992,293999,noida,1790,sedan,manual,1.5 exmt i dtec,noida,uttar pradesh,True,honda,amaze,1,256200,333904.0,great,2020-11-06T05:24:02.723,44100,False,False
hyundai elite i20,2017,diesel,148526,514799,noida,1140,hatchback,manual,sportz 1.4,noida,uttar pradesh,True,hyundai,elite i20,1,507465,639725.0,great,2021-02-17T08:38:55.32,77220,False,False
toyota corolla altis,2014,diesel,103033,694599,noida,3101,luxury sedan,manual,d 4d j,faridabad,haryana,True,toyota,corolla altis,1,713426,719426.0,great,2021-02-14T11:08:32.196,104190,False,False
maruti swift,2013,diesel,194203,284099,noida,1020,hatchback,manual,vdi,delhi,delhi,True,maruti,swift,1,284626,362578.0,great,2021-02-19T08:17:59.102,42615,False,False
audi q3,2014,diesel,90959,1103827,noida,3892,luxury suv,,2.0 tdi,noida,uttar pradesh,True,audi,q3,1,1127710,1135210.0,great,2021-02-04T09:00:50.888,165575,False,False
toyota innova,2015,diesel,111562,844899,noida,1356,suv,manual,2.5 vx 7 str bs iv,faridabad,haryana,True,toyota,innova,1,850000,1002280.0,great,2021-01-04T11:58:47.52,126735,False,False
renault scala,2013,diesel,219642,264299,noida,1241,sedan,manual,rxz,faridabad,haryana,True,renault,scala,1,226320,284657.0,good,2021-03-04T00:07:12.473,39645,False,False
maruti wagon r 1.0,2015,petrol,11343,334899,noida,3337,hatchback,manual,vxi,noida,uttar pradesh,True,maruti,wagon r 1.0,1,352558,451448.0,great,2021-03-22T08:27:10.764,50235,False,False
maruti alto 800,2019,petrol & cng,2510,346599,noida,2873,hatchback,manual,lxi cng,noida,uttar pradesh,True,maruti,alto 800,1,364076,465496.0,great,2021-03-17T11:50:56.513,51990,False,False
maruti alto k10,2013,petrol,21784,240199,noida,963,hatchback,manual,vxi,bareilly,uttar pradesh,True,maruti,alto k10,2,241697,310189.0,great,2021-03-25T04:42:15.03,36030,False,False
renault kwid,2019,petrol,4279,341199,noida,502,hatchback,manual,rxt,new delhi,delhi,True,renault,kwid,1,336000,342500.0,great,2021-04-06T06:10:39.378,51180,False,False
maruti dzire,2019,petrol,11393,516599,noida,6046,sedan,manual,lxi,bulandshahr,uttar pradesh,True,maruti,dzire,1,536586,682666.0,great,2021-03-24T06:18:59.238,77490,False,False
maruti alto k10,2019,petrol,11221,358099,noida,1039,hatchback,,vxi opt. mt,noida,uttar pradesh,True,maruti,alto k10,1,360000,460540.0,great,2021-03-24T11:24:30.633,53715,False,False
honda city,2010,petrol,47405,360799,noida,1064,sedan,manual,s mt petrol,delhi,delhi,True,honda,city,1,352000,449780.0,great,2021-04-16T07:57:32.654,54120,False,False
maruti swift,2013,petrol,43803,352799,noida,1184,hatchback,manual,vxi,agra,uttar pradesh,True,maruti,swift,1,344573,435703.0,great,2021-03-28T11:02:46.024,52920,False,False
hyundai eon,2013,petrol,24955,226199,noida,924,hatchback,manual,d lite plus,delhi,delhi,True,hyundai,eon,1,208148,269270.0,great,2021-03-08T15:19:11.232,33930,False,False
maruti alto 800,2016,petrol,34451,259999,noida,816,hatchback,manual,lxi,jhajjar,haryana,True,maruti,alto 800,1,251662,330354.0,great,2021-03-30T14:18:34.697,39000,False,False
renault kwid,2016,petrol,40154,213999,noida,5697,hatchback,manual,rxt,ghaziabad,uttar pradesh,True,renault,kwid,1,222438,292706.0,great,2021-03-10T11:02:53.148,32100,False,False
renault kwid,2016,petrol,37916,234099,noida,5518,hatchback,manual,rxt,faridabad,haryana,True,renault,kwid,1,241700,302963.0,great,2021-01-02T06:28:02.249,35115,False,False
hyundai grand i10,2017,petrol,25826,488699,noida,935,hatchback,,sportz (o) 1.2 at vtvt,new delhi,delhi,True,hyundai,grand i10,1,503392,509892.0,great,2021-03-27T12:20:18.344,73305,False,False
hyundai grand i10,2017,petrol & cng,38901,462899,noida,1702,hatchback,,sportz(o) 1.2 mt,delhi,delhi,True,hyundai,grand i10,1,453780,,great,2021-03-08T12:15:46.932,69435,False,False
maruti wagon r 1.0,2012,petrol,39131,232999,noida,1501,hatchback,manual,lxi,gurgaon,haryana,True,maruti,wagon r 1.0,1,209467,275375.0,great,2021-04-05T15:00:56.767,34950,False,False
renault duster,2013,diesel,28769,454599,noida,2393,suv,manual,85 ps rxl opt,noida,uttar pradesh,True,renault,duster,1,433859,544319.0,great,2021-04-01T10:18:08.088,68190,False,False
maruti alto k10,2018,petrol,3212,394399,noida,846,hatchback,manual,vxi,delhi,delhi,True,maruti,alto k10,1,353454,,great,2021-04-11T14:46:41.678,59160,False,False
hyundai eon,2016,petrol,14776,278199,noida,1063,hatchback,manual,era plus,new delhi,delhi,True,hyundai,eon,1,265907,339745.0,great,2021-03-30T11:28:13.103,41730,False,False
maruti swift,2013,diesel,50647,349299,noida,664,hatchback,manual,vdi,delhi,delhi,True,maruti,swift,2,335481,,great,2021-03-16T17:56:46.635,52395,False,False
hyundai elite i20,2019,petrol,21556,571299,noida,1725,hatchback,,1.2 magna plus vtvt,auraiya,uttar pradesh,True,hyundai,elite i20,1,578988,719548.0,great,2021-04-10T09:44:15.115,85695,False,False
maruti swift,2013,petrol,48461,370599,noida,775,hatchback,manual,vxi,new delhi,delhi,True,maruti,swift,1,357366,,great,2021-04-15T07:51:49.92,55590,False,False
maruti swift,2012,diesel,62476,317399,noida,693,hatchback,manual,vdi,goutam  budd  nagar,uttar pradesh,True,maruti,swift,1,334103,428945.0,great,2021-03-09T17:11:41.356,47610,False,False
tata tiago,2017,diesel,85779,332399,noida,1000,hatchback,manual,xt 1.05 revotorq,delhi,delhi,True,tata,tiago,2,333702,333899.0,great,2021-04-07T10:39:21.029,49860,False,False
hyundai creta,2015,petrol,20087,823499,noida,1301,suv,manual,1.6 s,noida,uttar pradesh,True,hyundai,creta,2,841253,1023449.0,great,2021-03-02T15:23:07.87,123525,False,False
hyundai i10,2011,petrol,59431,223599,noida,1066,hatchback,manual,sportz 1.2 kappa2,raebarely,uttar pradesh,True,hyundai,i10,1,202583,262473.0,great,2021-02-22T12:20:44.599,33540,False,False
toyota etios liva,2013,petrol,40911,294399,noida,1343,hatchback,manual,g,delhi,delhi,True,toyota,etios liva,2,269633,349285.0,good,2021-04-04T11:55:11.259,44160,False,False
maruti ertiga,2019,petrol,8326,897199,noida,6979,suv,,zxi smart hybrid,new delhi,delhi,True,maruti,ertiga,1,911988,1105910.0,great,2021-03-27T09:53:02.118,134580,False,False
hyundai i20,2011,petrol,71538,256699,noida,878,hatchback,manual,magna o 1.2,sonipat,haryana,True,hyundai,i20,1,239609,268499.0,great,2021-02-23T13:28:37.19,38505,False,False
datsun redi go,2016,petrol,28840,221399,noida,1922,hatchback,manual,t (o),delhi,delhi,True,datsun,redi go,1,201724,,good,2021-04-06T10:08:37.704,33210,False,False
maruti celerio,2015,petrol,53095,354999,noida,649,hatchback,manual,zxi,delhi,delhi,True,maruti,celerio,1,355044,361544.0,great,2021-04-09T16:52:00.574,53250,False,False
hyundai i20,2012,diesel,59922,276399,noida,991,hatchback,manual,magna 1.4 crdi,faridabad,haryana,True,hyundai,i20,1,237167,297556.0,good,2021-04-01T08:23:05.806,41460,False,False
honda wr-v,2018,petrol,28290,709899,noida,2443,suv,manual,1.2 i-vtec vx mt,noida,uttar pradesh,True,honda,wr-v,1,738712,917232.0,great,2021-03-08T11:27:21.468,106485,False,False
maruti baleno,2017,petrol,34205,509399,noida,519,hatchback,manual,zeta 1.2 k12,noida,uttar pradesh,True,maruti,baleno,1,470617,535699.0,great,2021-04-08T09:28:10.887,76410,False,False
maruti swift,2015,petrol,57972,369399,noida,938,hatchback,manual,vxi,delhi,delhi,True,maruti,swift,3,369391,470977.0,great,2021-04-03T11:10:09.706,55410,False,False
maruti swift,2008,petrol,61909,203099,noida,654,hatchback,manual,lxi 1.3,delhi,delhi,True,maruti,swift,1,176651,236421.0,good,2021-03-22T09:54:35.987,30465,False,False
mahindra xuv500,2012,diesel,49367,479899,noida,4922,luxury suv,manual,w8 fwd,noida,uttar pradesh,True,mahindra,xuv500,3,395073,503313.0,good,2021-04-02T14:06:14.22,71985,False,False
mahindra xuv500,2014,diesel,64950,555999,noida,3259,luxury suv,manual,w8 fwd,new delhi,delhi,True,mahindra,xuv500,2,505938,636898.0,great,2020-10-28T21:30:04.744,83400,False,False
maruti sx4,2010,petrol,61261,232899,noida,1143,sedan,manual,zxi,ghaziabad,uttar pradesh,True,maruti,sx4,1,200068,265408.0,good,2021-02-22T13:52:38.225,34935,False,False
honda amaze,2013,diesel,72461,301399,noida,778,sedan,manual,1.5 exmt i dtec,delhi,delhi,True,honda,amaze,1,270460,,great,2021-02-02T13:01:48.283,45210,False,False
maruti swift,2013,diesel,67011,369299,noida,494,hatchback,manual,vdi,faridabad,haryana,True,maruti,swift,1,354032,436632.0,great,2021-04-01T17:39:33.795,55395,False,False
hyundai elite i20,2015,petrol,53171,480399,noida,1015,hatchback,manual,sportz 1.2,noida,uttar pradesh,True,hyundai,elite i20,1,447444,560624.0,great,2021-04-13T10:38:30.079,72060,False,False
hyundai grand i10,2017,petrol,93152,377799,noida,631,hatchback,,sportz(o) 1.2 mt,delhi,delhi,True,hyundai,grand i10,1,388000,493700.0,good,2021-03-05T11:16:34.094,56670,False,False
volkswagen polo,2011,petrol,59541,275099,noida,496,hatchback,manual,comfortline 1.2l petrol,gurgaon,haryana,True,volkswagen,polo,2,217138,,good,2021-04-08T09:34:53.478,41265,False,False
maruti zen estilo,2011,petrol,89510,188399,noida,1377,hatchback,manual,lxi,noida,uttar pradesh,True,maruti,zen estilo,1,164094,221714.0,good,2021-03-12T11:06:07.784,28260,False,False
tata tiago,2016,petrol,55538,359399,noida,1373,hatchback,manual,xt 1.2 revotron,delhi,delhi,True,tata,tiago,1,347573,,great,2021-04-09T06:56:07.247,53910,False,False
mahindra scorpio,2015,diesel,50968,801099,noida,2106,suv,manual,s8,delhi,delhi,True,mahindra,scorpio,1,832560,1012190.0,great,2021-01-24T10:45:55.518,120165,False,False
toyota innova crysta,2017,diesel,42841,1415109,noida,1528,suv,manual,2.4 gx 7 str,noida,uttar pradesh,True,toyota,innova crysta,1,1422217,1713713.0,great,2021-04-15T11:37:12.803,212267,False,False
volkswagen polo,2013,petrol,65942,317199,noida,1320,hatchback,manual,comfortline 1.2l petrol,gurgaon,haryana,True,volkswagen,polo,1,290791,374585.0,great,2021-02-28T12:19:35.107,47580,False,False
mahindra scorpio,2016,diesel,59831,1092313,noida,3284,suv,manual,s10,ghaziabad,uttar pradesh,True,mahindra,scorpio,1,1093292,,great,2021-02-23T07:50:37.655,163847,False,False
hyundai creta,2016,petrol,61582,720299,noida,1680,suv,manual,1.6 sx plus petrol,noida,uttar pradesh,True,hyundai,creta,2,672500,837780.0,great,2021-03-27T11:10:40.883,108045,False,False
mahindra scorpio,2016,diesel,61330,1030804,noida,2581,suv,manual,s10,noida,uttar pradesh,True,mahindra,scorpio,2,1048358,1272552.0,great,2021-02-23T09:00:20.091,154621,False,False
ford figo,2012,diesel,58699,233099,noida,380,hatchback,manual,1.4 zxi duratorq,gurgaon,haryana,True,ford,figo,1,176961,,fair,2021-04-07T12:37:18.939,34965,False,False
maruti swift,2009,petrol,96354,239299,noida,338,hatchback,manual,vxi,new delhi,delhi,True,maruti,swift,2,197667,262687.0,good,2021-02-09T14:49:03.098,35895,False,False
mitsubishi outlander,2009,petrol,95127,307099,noida,2828,luxury suv,manual,2.4 mivec,delhi,delhi,True,mitsubishi,outlander,3,295317,331199.0,great,2021-04-24T12:30:29.166,46065,False,False
hyundai verna,2014,diesel,81676,520499,noida,204,sedan,manual,fluidic 1.6 sx crdi opt,noida,uttar pradesh,True,hyundai,verna,1,510270,643090.0,great,2021-03-10T12:37:51.051,78075,False,False
hyundai verna,2014,diesel,84334,510699,noida,743,sedan,manual,fluidic 1.4 crdi cx,delhi,delhi,True,hyundai,verna,1,488043,608343.0,great,2021-03-02T13:11:57.44,76605,False,False
volkswagen ameo,2017,diesel,73768,486299,noida,1242,sedan,manual,highline 1.5,ghaziabad,uttar pradesh,True,volkswagen,ameo,1,465642,509599.0,great,2021-04-05T15:16:18.671,72945,False,False
maruti zen estilo,2010,petrol,65057,208999,noida,351,hatchback,manual,lxi,delhi,delhi,True,maruti,zen estilo,1,149524,,good,2021-04-14T12:18:30.85,31350,False,False
maruti alto k10,2012,petrol,89988,206399,noida,750,hatchback,manual,vxi,delhi,delhi,True,maruti,alto k10,2,181965,,good,2021-03-22T09:40:25.394,30960,False,False
maruti celerio,2016,petrol & cng,100780,358299,noida,1776,hatchback,manual,vxi cng,delhi,delhi,True,maruti,celerio,2,319632,,great,2021-04-04T11:33:09.687,53745,False,False
honda brio,2013,petrol,90659,251399,noida,448,hatchback,manual,1.2 s mt i vtec,delhi,delhi,True,honda,brio,2,214324,281810.0,good,2021-03-04T14:23:52.224,37710,False,False
hyundai santro xing,2013,petrol,79800,220699,noida,1251,hatchback,manual,gl plus,delhi,delhi,True,hyundai,santro xing,1,206571,,great,2021-04-01T16:54:22.729,33105,False,False
maruti swift dzire,2012,petrol,90220,290899,noida,1831,sedan,manual,lxi 1.2 bs iv,ghaziabad,uttar pradesh,True,maruti,swift dzire,1,283877,367653.0,great,2021-02-23T14:31:24.424,43635,False,False
ford ecosport,2013,diesel,99113,413099,noida,1508,suv,manual,1.5titanium tdci,noida,uttar pradesh,True,ford,ecosport,1,411396,517356.0,great,2021-02-08T14:02:54.098,61965,False,False
